order_id,customer_name,category,sub_category,city,order_date,region,sale_price,discount,profit,year,month,original_price,discount_amount
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,2017-11-08,South,749,0.18,149.8,2017,11,913.4146341463414,164.41463414634143
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,2017-06-12,West,2360,0.21,165.2,2017,6,2987.3417721518986,627.3417721518986
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,2016-10-11,South,896,0.25,89.6,2016,10,1194.6666666666667,298.66666666666674
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,2016-10-11,South,2355,0.26,918.45,2016,10,3182.4324324324325,827.4324324324325
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,2015-06-09,West,2305,0.26,322.7,2015,6,3114.864864864865,809.864864864865
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,2015-06-09,West,826,0.33,346.92,2015,6,1232.8358208955226,406.8358208955226
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2015-06-09,West,1847,0.32,147.76,2015,6,2716.1764705882356,869.1764705882356
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,2015-06-09,West,791,0.23,181.93,2015,6,1027.2727272727273,236.27272727272725
OD10,Krithika,Bakery,Cakes,Chennai,2015-06-09,West,1795,0.27,484.65,2015,6,2458.904109589041,663.9041095890411
OD11,Ganesh,Snacks,Chocolates,Karur,2015-06-09,West,1903,0.13,437.69,2015,6,2187.3563218390805,284.35632183908046
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,2015-06-09,West,701,0.1,308.44,2015,6,778.8888888888889,77.88888888888891
OD13,Sharon,Snacks,Cookies,Dindigul,2018-04-15,South,1659,0.19,315.21,2018,4,2048.148148148148,389.1481481481478
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,2017-12-05,West,1277,0.25,63.85,2017,12,1702.6666666666667,425.66666666666674
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,2016-11-22,Central,831,0.22,207.75,2016,11,1065.3846153846152,234.38461538461524
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,2016-11-22,Central,1440,0.11,100.8,2016,11,1617.9775280898875,177.97752808988753
OD17,Alan,Bakery,Cakes,Dharmapuri,2015-11-11,Central,1678,0.28,318.82,2015,11,2330.5555555555557,652.5555555555557
OD18,Arutra,Beverages,Health Drinks,Bodi,2015-05-13,West,1617,0.19,113.19,2015,5,1996.296296296296,379.2962962962961
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,2015-08-27,West,1757,0.35,386.54,2015,8,2703.076923076923,946.0769230769229
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,2015-08-27,West,692,0.29,159.16,2015,8,974.6478873239437,282.6478873239437
OD21,Hafiz,Beverages,Health Drinks,Vellore,2015-08-27,West,522,0.19,208.8,2015,8,644.4444444444445,122.44444444444446
OD22,Alan,Food Grains,Dals & Pulses,Karur,2017-12-09,Central,948,0.13,47.4,2017,12,1089.655172413793,141.65517241379303
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,2017-12-09,Central,707,0.34,148.47,2017,12,1071.2121212121212,364.21212121212125
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,2018-07-16,East,969,0.29,77.52,2018,7,1364.7887323943662,395.7887323943662
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,2016-09-25,West,1100,0.11,495.0,2016,9,1235.9550561797753,135.95505617977528
OD26,Krithika,Snacks,Chocolates,Tirunelveli,2017-01-16,West,2022,0.11,202.2,2017,1,2271.9101123595506,249.91011235955057
OD27,Muneer,Snacks,Cookies,Trichy,2017-01-16,West,541,0.12,43.28,2017,1,614.7727272727273,73.77272727272725
OD28,Jackson,Bakery,Biscuits,Viluppuram,2016-09-17,East,979,0.22,401.39,2016,9,1255.128205128205,276.1282051282051
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,2016-09-17,East,1988,0.22,874.72,2016,9,2548.7179487179487,560.7179487179487
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,2016-09-17,East,989,0.17,69.23,2016,9,1191.566265060241,202.566265060241
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,2016-09-17,East,1845,0.24,166.05,2016,9,2427.6315789473683,582.6315789473683
OD32,Mathew,Snacks,Noodles,Vellore,2016-09-17,East,1400,0.11,420.0,2016,9,1573.0337078651685,173.03370786516848
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,2016-09-17,East,2163,0.26,670.53,2016,9,2922.972972972973,759.9729729729729
OD34,Anu,Oil & Masala,Masalas,Madurai,2016-09-17,East,1689,0.34,337.8,2016,9,2559.0909090909095,870.0909090909095
OD35,Anu,Beverages,Health Drinks,Vellore,2018-10-19,Central,809,0.32,80.9,2018,10,1189.7058823529412,380.7058823529412
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,2017-12-08,Central,1265,0.22,569.25,2017,12,1621.7948717948718,356.7948717948718
OD37,James,Beverages,Soft Drinks,Salem,2017-12-08,Central,934,0.35,56.04,2017,12,1436.923076923077,502.9230769230769
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,2016-12-27,Central,1354,0.16,446.82,2016,12,1611.904761904762,257.9047619047619
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,2016-12-27,Central,1751,0.19,280.16,2016,12,2161.7283950617284,410.7283950617284
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,2016-12-27,Central,2045,0.23,879.35,2016,12,2655.844155844156,610.8441558441559
OD41,Malik,Beverages,Health Drinks,Namakkal,2016-12-27,Central,660,0.19,92.4,2016,12,814.8148148148148,154.81481481481478
OD42,Arutra,Beverages,Soft Drinks,Salem,2018-09-10,Central,1868,0.18,616.44,2018,9,2278.048780487805,410.04878048780483
OD43,Sharon,Snacks,Cookies,Bodi,2017-07-17,West,1017,0.25,345.78,2017,7,1356.0,339.0
OD44,Mathew,Snacks,Cookies,Dharmapuri,2018-09-19,South,2311,0.2,1039.95,2018,9,2888.75,577.75
OD45,Amrish,Bakery,Biscuits,Krishnagiri,2017-03-11,Central,1663,0.17,731.72,2017,3,2003.6144578313254,340.61445783132535
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,2017-03-11,Central,1420,0.19,355.0,2017,3,1753.0864197530864,333.0864197530864
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,2015-10-20,Central,1415,0.31,509.4,2015,10,2050.7246376811595,635.7246376811595
OD48,Mathew,Snacks,Noodles,Chennai,2017-06-20,East,1488,0.3,610.08,2017,6,2125.714285714286,637.7142857142858
OD49,Ridhesh,Snacks,Noodles,Pudukottai,2017-06-20,East,726,0.18,43.56,2017,6,885.3658536585365,159.36585365853648
OD50,Amrish,Bakery,Cakes,Ooty,2016-04-18,Central,1259,0.15,415.47,2016,4,1481.1764705882354,222.17647058823536
OD51,Esther,Beverages,Soft Drinks,Salem,2016-04-18,Central,902,0.29,153.34,2016,4,1270.4225352112676,368.4225352112676
OD52,Shah,Beverages,Soft Drinks,Salem,2016-04-18,Central,2306,0.3,553.44,2016,4,3294.2857142857147,988.2857142857147
OD53,Sudha,Bakery,Cakes,Theni,2016-04-18,Central,1417,0.19,99.19,2016,4,1749.3827160493827,332.3827160493827
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,2017-12-11,East,627,0.33,181.83,2017,12,935.8208955223881,308.8208955223881
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,2017-12-11,East,760,0.28,60.8,2017,12,1055.5555555555557,295.55555555555566
OD56,Muneer,Food Grains,Atta & Flour,Salem,2017-06-17,East,2350,0.15,611.0,2017,6,2764.7058823529414,414.70588235294144
OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,2017-06-17,East,1179,0.34,271.17,2017,6,1786.3636363636365,607.3636363636365
OD58,Veena,Food Grains,Dals & Pulses,Trichy,2017-06-17,East,1624,0.35,194.88,2017,6,2498.4615384615386,874.4615384615386
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,2017-06-17,East,1316,0.35,421.12,2017,6,2024.6153846153845,708.6153846153845
OD60,Shree,Beverages,Health Drinks,Coimbatore,2017-06-17,East,2121,0.12,678.72,2017,6,2410.2272727272725,289.2272727272725
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,2017-06-17,East,1428,0.28,271.32,2017,6,1983.3333333333335,555.3333333333335
OD62,Willams,Snacks,Noodles,Perambalur,2017-06-17,East,706,0.33,289.46,2017,6,1053.7313432835822,347.7313432835822
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,2016-11-24,West,921,0.25,184.2,2016,11,1228.0,307.0
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,2016-11-24,West,1741,0.31,661.58,2016,11,2523.1884057971015,782.1884057971015
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,2016-11-24,West,607,0.22,200.31,2016,11,778.2051282051282,171.20512820512818
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,2016-11-24,West,1824,0.25,766.08,2016,11,2432.0,608.0
OD67,Vinne,Food Grains,Atta & Flour,Madurai,2016-04-30,Central,1368,0.11,383.04,2016,4,1537.0786516853932,169.0786516853932
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,2015-12-05,West,1160,0.16,510.4,2015,12,1380.952380952381,220.95238095238096
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,2015-12-05,West,1294,0.23,77.64,2015,12,1680.5194805194806,386.51948051948057
OD70,Peer,Oil & Masala,Masalas,Ooty,2017-06-04,South,1232,0.14,554.4,2017,6,1432.5581395348838,200.55813953488382
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,2017-09-18,East,994,0.31,357.84,2017,9,1440.5797101449277,446.57971014492773
OD72,Yusuf,Snacks,Noodles,Kanyakumari,2018-09-14,Central,2468,0.18,1011.88,2018,9,3009.7560975609754,541.7560975609754
OD73,Alan,Snacks,Cookies,Theni,2016-04-26,South,721,0.27,100.94,2016,4,987.6712328767123,266.67123287671234
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,2016-04-26,South,2375,0.21,475.0,2016,4,3006.3291139240505,631.3291139240505
OD75,Arvind,Beverages,Soft Drinks,Vellore,2016-04-26,South,1965,0.13,117.9,2016,4,2258.6206896551726,293.62068965517255
OD76,Veronica,Beverages,Soft Drinks,Bodi,2018-12-09,Central,1489,0.12,193.57,2018,12,1692.0454545454545,203.0454545454545
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,2018-12-09,Central,1250,0.27,75.0,2018,12,1712.3287671232877,462.32876712328766
OD78,Anu,Snacks,Noodles,Coimbatore,2018-12-09,Central,1358,0.31,488.88,2018,12,1968.1159420289857,610.1159420289857
OD79,Haseena,Snacks,Cookies,Vellore,2015-11-26,Central,719,0.2,64.71,2015,11,898.75,179.75
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,2017-06-12,South,2303,0.26,621.81,2017,6,3112.162162162162,809.1621621621621
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,2017-06-12,South,2027,0.34,912.15,2017,6,3071.2121212121215,1044.2121212121215
OD82,Amy,Food Grains,Atta & Flour,Bodi,2015-10-12,West,1739,0.29,765.16,2015,10,2449.2957746478874,710.2957746478874
OD83,Komal,Oil & Masala,Spices,Cumbum,2015-10-12,West,990,0.26,227.7,2015,10,1337.837837837838,347.8378378378379
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,2016-09-03,South,2354,0.11,682.66,2016,9,2644.9438202247193,290.9438202247193
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,2018-11-13,Central,1044,0.1,344.52,2018,11,1160.0,116.0
OD86,Willams,Oil & Masala,Spices,Dindigul,2018-05-28,South,2129,0.25,659.99,2018,5,2838.6666666666665,709.6666666666665
OD87,Sharon,Food Grains,Rice,Theni,2018-10-26,Central,1759,0.1,615.65,2018,10,1954.4444444444443,195.44444444444434
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,2018-10-26,Central,1663,0.26,665.2,2018,10,2247.2972972972975,584.2972972972975
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,2017-04-05,Central,2111,0.21,189.99,2017,4,2672.151898734177,561.1518987341769
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,2017-09-17,West,1878,0.12,450.72,2017,9,2134.090909090909,256.090909090909
OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,2017-09-17,West,769,0.34,46.14,2017,9,1165.1515151515152,396.15151515151524
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,2017-09-17,West,1241,0.14,409.53,2017,9,1443.0232558139535,202.02325581395348
OD93,Ravi,Food Grains,Atta & Flour,Madurai,2016-01-31,Central,2128,0.14,383.04,2016,1,2474.4186046511627,346.4186046511627
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,2016-01-31,Central,2257,0.33,270.84,2016,1,3368.656716417911,1111.656716417911
